,artist,album,units_sold,month,year
507,Electric Echoes,Voltage Dreams,180.0,August,2023
508,Futuristic Sounds,Cyber Waves,400.0,September,2023
509,Crimson Waves,Blood Moon,270.0,October,2023
510,The Midnight Echoes,Neon Reverie,145.0,November,2023
511,Synthwave Dreams,Electric Pulse,390.0,December,2023
512,Urban Beats,City Lights,210.0,January,2024
513,Digital Pulse,Quantum Vibes,370.0,February,2024
514,Retro Vibes,Vintage Echoes,160.0,March,2024
515,Neon Strings,Laser Lights,290.0,April,2024
516,Midnight Rhythm,Shadow Tunes,315.0,May,2024
517,Electric Echoes,Voltage Dreams,240.0,June,2024
518,Futuristic Sounds,Cyber Waves,195.0,July,2024
519,Crimson Waves,Blood Moon,360.0,August,2024
520,The Midnight Echoes,Neon Reverie,185.0,September,2024
521,Synthwave Dreams,Electric Pulse,230.0,October,2024
522,Urban Beats,City Lights,170.0,November,2024
523,Digital Pulse,Quantum Vibes,325.0,December,2024
524,Retro Vibes,Vintage Echoes,205.0,January,2025
525,The Midnight Echoes,Neon Dreams,3500.0,June,2023
526,Velvet Horizon,Electric Pulse,1800.0,January,2022
527,Stellar Reverie,Galactic Waves,4750.0,March,2023
528,Echoes of the Past,Timeless Melodies,980.0,April,2021
529,Urban Pulse,City Beats,5200.0,July,2023
530,Celestial Strings,Starlight Serenade,2400.0,September,2022
531,The Analog Band,Vintage Vibes,3100.0,November,2023
532,Digital Reverie,Synth Dreams,4200.0,February,2023
533,Oceanic Rhythms,Tides of Sound,1500.0,December,2021
534,Midnight Strings,Nocturnal Echoes,6700.0,May,2023
535,Radiant Vibes,Solar Flares,2950.0,August,2022
536,The Echo Collective,Resonance,3800.0,October,2023
537,Crimson Horizon,Red Sky,4100.0,January,2023
538,Urban Echoes,Concrete Beats,5600.0,April,2023
539,Celestial Waves,Cosmic Harmony,2800.0,June,2021
540,The Neon Collective,Luminous Nights,4900.0,September,2023
541,Mystic Strings,Enchanted Melodies,1750.0,December,2022
542,Digital Dreams,Pixel Pulse,3400.0,March,2023
543,Oceanic Echoes,Deep Currents,6100.0,July,2022
544,Velvet Strings,Soft Reveries,2300.0,February,2023
545,Stellar Beats,Cosmic Rhythms,5400.0,November,2023
546,Midnight Pulse,Nocturnal Beats,3900.0,October,2021
547,Urban Strings,City Melodies,4500.0,August,2023
548,Crimson Echoes,Red Reveries,2600.0,May,2022
549,The Analog Echoes,Vintage Beats,3700.0,April,2023
550,The Midnight Echoes,Electric Vibes,245.0,January,2023
551,Synthwave Dreams,Neon Hues,189.0,February,2023
552,Urban Beats Collective,City Pulse,312.0,March,2023
553,Echoes of Tomorrow,Galaxy Sounds,450.0,April,2023
554,Driftwood Band,Coastal Rhythms,198.0,May,2023
555,Vortex Strings,Orbital Motion,275.0,June,2023
556,Pixel Punk,Binary Beats,390.0,July,2023
557,Crimson Skies,Aerodynamic Dreams,215.0,August,2023
558,Mellow Groove,Smooth Strings,420.0,September,2023
559,Quantum Vibes,Spacetime Echoes,150.0,October,2023
560,Desert Rhythm,Sandstorm Sounds,360.0,November,2023
561,Frostbite Records,Winter Melodies,285.0,December,2023
562,The Midnight Echoes,Electric Vibes,170.0,January,2024
563,Synthwave Dreams,Neon Hues,305.0,February,2024
564,Urban Beats Collective,City Pulse,298.0,March,2024
565,Echoes of Tomorrow,Galaxy Sounds,165.0,April,2024
566,Driftwood Band,Coastal Rhythms,230.0,May,2024
567,Vortex Strings,Orbital Motion,410.0,June,2024
568,Pixel Punk,Binary Beats,350.0,July,2024
569,Crimson Skies,Aerodynamic Dreams,190.0,August,2024
570,Mellow Groove,Smooth Strings,260.0,September,2024
571,Quantum Vibes,Spacetime Echoes,320.0,October,2024
572,Desert Rhythm,Sandstorm Sounds,180.0,November,2024
573,Frostbite Records,Winter Melodies,250.0,December,2024
574,Retro Revival,Vintage Grooves,280.0,March,2022
575,The Midnight Echoes,Electric Dreams,300.0,January,2023
576,Velvet Vortex,Neon Nights,450.0,February,2023
577,Synthwave Soul,Echoes of the Past,280.0,March,2023
578,Stellar Pulse,Galaxy Rising,520.0,April,2023
579,Urban Groove,City Beats,370.0,May,2023
580,Driftwood Dreams,Coastal Reverie,190.0,June,2023
581,Chrome Horizon,Solar Flares,480.0,July,2023
582,Midnight Strings,Lullaby in the Dark,260.0,August,2023
583,Crimson Tide,Deep Blue,390.0,September,2023
584,Electric Phoenix,Rise and Shine,410.0,October,2023
585,Foggy Peaks,Mountain Echoes,240.0,November,2023
586,Crystal Vortex,Celestial Drift,500.0,December,2023
587,The Midnight Echoes,Electric Dreams,310.0,January,2024
588,Velvet Vortex,Neon Nights,460.0,February,2024
589,Synthwave Soul,Echoes of the Past,290.0,March,2024
590,Stellar Pulse,Galaxy Rising,530.0,April,2024
591,Urban Groove,City Beats,380.0,May,2024
592,Driftwood Dreams,Coastal Reverie,195.0,June,2024
593,Chrome Horizon,Solar Flares,470.0,July,2024
594,Midnight Strings,Lullaby in the Dark,270.0,August,2024
595,Crimson Tide,Deep Blue,395.0,September,2024
596,Electric Phoenix,Rise and Shine,415.0,October,2024
597,Foggy Peaks,Mountain Echoes,250.0,November,2024
598,Crystal Vortex,Celestial Drift,510.0,December,2024
599,The Midnight Echoes,Electric Dreams,320.0,January,2025
600,The Echoes,Neon Dreams,1800.0,January,2023
601,Vortex,Electric Pulse,950.0,February,2023
602,Pixel Waves,Digital Symphony,2400.0,March,2023
603,Stellar Beats,Cosmic Vibes,1500.0,April,2023
604,Urban Groove,Streetlight Rhythms,780.0,May,2023
605,Midnight Reverie,Twilight Echoes,1950.0,June,2023
606,Quantum Pulse,Frequency Shift,3200.0,July,2023
607,Crimson Strings,Red Notes,1100.0,August,2023
608,Echo Valley,Mountain Resonance,2750.0,September,2023
609,Nebula Sounds,Galactic Drift,680.0,October,2023
610,Driftwood Band,Waves of Time,1420.0,November,2023
611,Solar Flares,Starlight Surge,2900.0,December,2023
612,Frostbite Collective,Winter Echoes,1650.0,January,2023
613,Sonic Mirage,Mirage Beats,890.0,February,2023
614,Retro Vibes,Vintage Grooves,2100.0,March,2023
615,Urban Pulse,City Beats,1350.0,April,2023
616,Quantum Echoes,Parallel Realms,2600.0,May,2023
617,Nova Strings,Celestial Strings,1980.0,June,2023
618,Crimson Echoes,Red Reverie,1540.0,July,2023
619,Midnight Drift,Nocturnal Waves,970.0,August,2023
620,Solaris Band,Sunlight Symphony,2850.0,September,2023
621,Frostfire Collective,Frozen Flames,1760.0,October,2023
622,Echo Sphere,Resonant Realms,2450.0,November,2023
623,Nebula Beats,Galaxy Grooves,1890.0,December,2023
624,Quantum Drift,Spacetime Echoes,3100.0,March,2023
625,The Midnight Echoes,Electric Dreams,345.0,January,2022
626,Synthwave Revival,Neon Nights,289.0,February,2022
627,Digital Dreams,Cyber Pulse,412.0,March,2022
628,Neon Pulse,Laser Light,378.0,April,2022
629,Echo Valley,Soundscapes,256.0,May,2022
630,Rhythm Rebels,Beat Vortex,401.0,June,2022
631,Bassline Kings,Deep Frequencies,327.0,July,2022
632,Cosmic Waves,Galactic Sounds,298.0,August,2022
633,Urban Groove,City Beats,,September,2022
634,Analog Soul,Vintage Vibes,315.0,October,2022
635,The Midnight Echoes,Electric Dreams,402.0,November,2022
636,Synthwave Revival,Neon Nights,389.0,December,2022
637,Digital Dreams,Cyber Pulse,456.0,January,2023
638,Neon Pulse,Laser Light,397.0,February,2023
639,Echo Valley,Soundscapes,284.0,March,2023
640,Rhythm Rebels,Beat Vortex,419.0,April,2023
641,Bassline Kings,Deep Frequencies,358.0,May,2023
642,Cosmic Waves,Galactic Sounds,312.0,June,2023
643,Urban Groove,City Beats,405.0,July,2023
644,Analog Soul,Vintage Vibes,376.0,August,2023
645,The Midnight Echoes,Electric Dreams,421.0,September,2023
646,Synthwave Revival,Neon Nights,394.0,October,2023
647,Digital Dreams,Cyber Pulse,438.0,November,2023
648,Neon Pulse,Laser Light,367.0,December,2023
649,Echo Valley,Soundscapes,291.0,January,2024
650,The Midnight Echoes,Neon Dreams,3000.0,January,2023
651,Electric Dreams,Synthwave Visions,4500.0,February,2023
652,Soulful Strings,Melody of the Soul,1800.0,March,2023
653,Driftwood Band,Waves of Time,2750.0,April,2023
654,Urban Pulse,City Beats,4100.0,May,2023
655,The Midnight Echoes,Echoes of Tomorrow,2900.0,June,2023
656,Electric Dreams,Nightfall Reverie,3600.0,July,2023
657,Soulful Strings,Strings of Passion,1500.0,August,2023
658,Driftwood Band,Tides of Change,3400.0,September,2023
659,Urban Pulse,Rhythm of the Streets,5200.0,October,2023
660,The Midnight Echoes,Neon Dreams Revisited,4000.0,November,2023
661,Electric Dreams,Synthwave Memories,3800.0,December,2023
662,Soulful Strings,Melody of the Soul II,2100.0,January,2024
663,Driftwood Band,Waves of Time II,3950.0,February,2024
664,Urban Pulse,City Beats Reimagined,4700.0,March,2024
665,The Midnight Echoes,Echoes of Tomorrow II,3100.0,April,2024
666,Electric Dreams,Nightfall Reverie II,4200.0,May,2024
667,Soulful Strings,Strings of Passion II,1900.0,June,2024
668,Driftwood Band,Tides of Change II,3700.0,July,2024
669,Urban Pulse,Rhythm of the Streets II,5100.0,August,2024
670,The Midnight Echoes,Neon Dreams III,4300.0,September,2024
671,Electric Dreams,Synthwave Memories II,3500.0,October,2024
672,Soulful Strings,Melody of the Soul III,2200.0,November,2024
673,Driftwood Band,Waves of Time III,3650.0,December,2024
674,Urban Pulse,City Beats III,5000.0,January,2025
675,The Midnight Echoes,Echoes of Tomorrow,200.0,May,2023
676,Pixel Beats,Neon Dreams,350.0,June,2023
677,Velvet Strings,Electric Heart,180.0,July,2023
678,Retro Vibes,Vintage Sounds,420.0,August,2023
679,Urban Pulse,City Beats,250.0,September,2023
680,Starlight Band,Galaxy Songs,190.0,October,2023
681,Digital Dreams,Cyber Waves,,November,2023
682,Harmony Lane,Melody Fields,280.0,December,2023
683,Electric Soul,Thunder Rhythms,400.0,January,2024
684,Sunny Skies,Cloudy Days,170.0,February,2024
685,Midnight Funk,Dusk Vibes,330.0,March,2024
686,Crystal Clear,Waterfall Tunes,210.0,April,2024
687,Urban Groove,Street Beats,370.0,May,2024
688,Solar Flare,Space Odyssey,290.0,June,2024
689,Luna Moons,Nightfall Melodies,150.0,July,2024
690,Quantum Beats,Time Loop,390.0,August,2024
691,Ocean Waves,Deep Blue,260.0,September,2024
692,Firelight,Blaze,180.0,October,2024
693,Sky High,Cloudscape,320.0,November,2024
694,Shadow Play,Midnight Tales,240.0,December,2024
695,Golden Hour,Sunset Vibes,195.0,January,2025
696,Crimson Echoes,Red Sky,340.0,February,2025
697,Polar Lights,Arctic Dreams,270.0,March,2025
698,Solar Winds,Stellar Pulse,160.0,April,2025
699,Echo Valley,Mountain Songs,300.0,May,2025
700,The Midnight Echoes,Sonic Vibes,180.0,January,2023
701,Electric Dreams,Neon Nights,245.0,February,2023
702,Neon Waves,Rhythm Revolution,310.0,March,2023
703,Shadow Beats,Electric Dreams,150.0,April,2023
704,Rhythm Republic,Pulse and Motion,280.0,May,2023
705,Sonic Drift,Shadow Play,210.0,June,2023
706,Pulse Makers,Starlight Symphony,195.0,July,2023
707,Echo Valley,Velvet Underground,260.0,August,2023
708,Urban Groove,Thunder Clap,300.0,September,2023
709,Starlight Sounds,Crystal Vibes,175.0,October,2023
710,Velvet Notes,Digital Echo,290.0,November,2023
711,Gravity Falls,Midnight City,140.0,December,2023
712,Midnight Train,Echoes of Time,220.0,January,2024
713,Crystal Vibes,Skyline Records,165.0,February,2024
714,Thunder Clap,Midnight Reverie,270.0,March,2024
715,Silver Strings,Neon Horizon,190.0,April,2024
716,Digital Echo,Rhythm Republic,250.0,May,2024
717,Midnight City,Velvet Notes,185.0,June,2024
718,Dreamweaver,Shadow Beats,230.0,July,2024
719,Midnight Pulse,Electric Dreams,170.0,August,2024
720,Skyline Records,Pulse Makers,240.0,September,2024
721,Neon Horizon,Sonic Drift,155.0,October,2024
722,Echoes of Time,Urban Groove,265.0,November,2024
723,Midnight Reverie,Crystal Vibes,195.0,December,2024
724,OCD Records,Label Anniversary,300.0,May,2023
725,The Midnight Echoes,Electric Dreams,300.0,March,2023
726,Synthwave Rebellion,Neon Nights,450.0,April,2023
727,Urban Pulse,City Beats,280.0,May,2023
728,Echoes of Tomorrow,Galaxy Frequencies,150.0,June,2023
729,Driftwood Band,Coastal Vibes,400.0,July,2023
730,Crimson Strings,Red Notes,320.0,August,2023
731,Pixel Dreams,Digital Reverie,500.0,September,2023
732,Velvet Echoes,Soft Waves,,October,2023
733,Quantum Beats,Time Loop,600.0,November,2023
734,Midnight Choir,Starlight Serenade,350.0,December,2023
735,Sonic Horizon,Sky High,420.0,January,2024
736,Electric Tide,Oceanic Rhythms,380.0,February,2024
737,Shadow Notes,Dark Reverie,290.0,March,2024
738,Crystal Vibes,Frosty Melodies,510.0,April,2024
739,Retro Pulse,Vintage Grooves,370.0,May,2024
740,Crimson Skies,Skybound,480.0,June,2024
741,Urban Echoes,City Pulse,310.0,July,2024
742,Neon Strings,Lightning Notes,550.0,August,2024
743,Dune Symphony,Desert Soundscape,260.0,September,2024
744,Echoes of the Past,Vintage Vibes,390.0,October,2024
745,Lunar Beats,Moonlit Rhythms,430.0,November,2024
746,Quantum Pulse,Timeless Echoes,520.0,December,2024
747,Urban Drift,City Drives,340.0,January,2025
748,Cerulean Strings,Azure Melodies,410.0,February,2025
749,Solar Beats,Sunset Rhythms,360.0,March,2025
750,The Midnight Echoes,Neon Dreams,245.0,January,2023
751,Velvet Vowels,Echoes of the Past,189.0,February,2023
752,Stellar Pulse,Galactic Tides,312.0,March,2023
753,Urban Reverie,City Lights,278.0,April,2023
754,Crimson Tide,Oceanic Rhythms,,May,2023
755,Synthwave Dreams,Digital Reverie,402.0,June,2023
756,Shadow Grove,Forest Whispers,198.0,July,2023
757,Electric Bloom,Radiant Futures,354.0,August,2023
758,Desert Echoes,Winds of Dune,221.0,September,2023
759,Celestial Strings,Starlight Serenade,287.0,October,2023
760,Nocturnal Vibes,Midnight Pulse,165.0,November,2023
761,Crystal Harmony,Frozen Melodies,391.0,December,2023
762,Urban Groove,City Beats,264.0,January,2024
763,Electric Storm,Thunderous Vibes,178.0,February,2024
764,Space Cadet,Cosmic Voyage,329.0,March,2024
765,Retro Waves,Vintage Sounds,215.0,April,2024
766,Midnight Symphony,Nightfall Melodies,183.0,May,2024
767,Crimson Sky,Horizon Lines,412.0,June,2024
768,Crystal Visions,Luminous Dreams,256.0,July,2024
769,Desert Bloom,Sandy Serenades,194.0,August,2024
770,Oceanic Rhythms,Tide Chants,308.0,September,2024
771,Urban Pulse,Concrete Beats,237.0,October,2024
772,Shadow Play,Dusk Reveries,169.0,November,2024
773,Electric Dreams,Neon Nights,385.0,December,2024
774,Celestial Echoes,Starlit Moments,291.0,January,2025
775,The Midnight Echoes,Echoes of the Past,450.0,January,2023
776,Synthwave Revival,Neon Dreams EP,780.0,February,2023
777,Ethereal Vibes,Celestial Waves,320.0,March,2023
778,Urban Pulse,City Lights,610.0,April,2023
779,Acoustic Haven,Forest Melodies,540.0,May,2023
780,Digital Beats,Cyber Funk,890.0,June,2023
781,Rock Revival,Reborn,470.0,July,2023
782,Pop Sensation,Golden Hits,920.0,August,2023
783,Jazz Collective,Midnight Jazz,380.0,September,2023
784,Electronic Dreams,Electric Pulse,750.0,October,2023
785,Folk Revival,Whispers of the Earth,410.0,November,2023
786,Metal Masters,Thunder Era,630.0,December,2023
787,The Midnight Echoes,Echoes of the Past,580.0,January,2022
788,Synthwave Revival,Neon Dreams EP,710.0,February,2022
789,Ethereal Vibes,Celestial Waves,490.0,March,2022
790,Urban Pulse,City Lights,650.0,April,2022
791,Acoustic Haven,Forest Melodies,510.0,May,2022
792,Digital Beats,Cyber Funk,870.0,June,2022
793,Rock Revival,Reborn,430.0,July,2022
794,Pop Sensation,Golden Hits,910.0,August,2022
795,Jazz Collective,Midnight Jazz,360.0,September,2022
796,Electronic Dreams,Electric Pulse,790.0,October,2022
797,Folk Revival,Whispers of the Earth,450.0,November,2022
798,Metal Masters,Thunder Era,670.0,December,2022
799,The Midnight Echoes,Echoes of the Past,620.0,January,2021
800,The Echoes,Neon Reverie,750.0,June,2023
801,Synthwave Collective,Electric Dreams,450.0,March,2023
802,Velvet Vowels,Soulful Vibes,680.0,September,2023
803,Driftwood Band,Waves of Change,320.0,January,2023
804,Pixel Pulse,Digital Horizons,910.0,November,2023
805,Midnight Grooves,Echoes of the Night,540.0,April,2023
806,Starlight Strings,Celestial Melodies,890.0,July,2023
807,Urban Beats,City Rhythm,470.0,February,2023
808,Frostfire,Winter's Edge,610.0,December,2023
809,Crimson Sky,Horizon Lines,730.0,October,2023
810,Lunar Whispers,Moonlit Tides,590.0,August,2023
811,Eclipse Syndicate,Shadow Play,860.0,May,2023
812,Golden Horizon,Sunset Sonnets,410.0,March,2023
813,Nebula Nocturne,Galactic Drift,650.0,January,2023
814,Thunderclap,Storm Surge,940.0,June,2023
815,Crystal Dawn,Morning Light,570.0,April,2023
816,Quantum Echoes,Parallel Realms,820.0,September,2023
817,Sonic Mirage,Mirage Beats,760.0,July,2023
818,Coral Reefs,Underwater Symphony,490.0,February,2023
819,Aurora Borealis,Northern Lights,630.0,October,2023
820,Echo Valley,Mountain Echoes,580.0,December,2023
821,Solar Flares,Cosmic Sparks,710.0,November,2023
822,Midnight Drift,Nocturnal Drifts,690.0,August,2023
823,Stellar Pulse,Galactic Pulse,840.0,May,2023
824,Crimson Tide,Tidal Waves,520.0,April,2023
825,The Midnight Echoes,Neon Hues,150.0,January,2023
826,Electric Dreams,Echoes of the Past,220.0,February,2023
827,Soulful Strings,Strings in the Night,180.0,March,2023
828,Urban Beats Collective,City Pulse,300.0,April,2023
829,Vortex Rock,Turbine,250.0,May,2023
830,Luna Rising,Stellar Dreams,190.0,June,2023
831,Driftwood Band,Waves of Time,210.0,July,2023
832,Cyber Pulse,Digital Reverie,,August,2023
833,Midnight Fables,Whispers in the Dark,170.0,September,2023
834,Electric Jazz,Groove Theory,240.0,October,2023
835,Solar Flares,Cosmic Waves,260.0,November,2023
836,Retro Vibes,Vintage Sounds,140.0,December,2023
837,The Midnight Echoes,Neon Hues,160.0,January,2022
838,Electric Dreams,Echoes of the Past,230.0,February,2022
839,Soulful Strings,Strings in the Night,195.0,March,2022
840,Urban Beats Collective,City Pulse,310.0,April,2022
841,Vortex Rock,Turbine,270.0,May,2022
842,Luna Rising,Stellar Dreams,215.0,June,2022
843,Driftwood Band,Waves of Time,225.0,July,2022
844,Cyber Pulse,Digital Reverie,290.0,August,2022
845,Midnight Fables,Whispers in the Dark,185.0,September,2022
846,Electric Jazz,Groove Theory,260.0,October,2022
847,Solar Flares,Cosmic Waves,285.0,November,2022
848,Retro Vibes,Vintage Sounds,155.0,December,2022
849,The Midnight Echoes,Neon Hues,175.0,January,2024
850,The Midnight Echoes,Neon Dreams,300.0,January,2023
851,Synthwave Dreams,Cyber Beats,450.0,February,2023
852,Electric Pulse,Urban Groove,280.0,March,2023
853,Echo Valley,Dawn Tones,190.0,April,2023
854,Retro Vibes,Golden Era,,May,2023
855,Neon Sparks,Electric Sky,410.0,June,2023
856,Urban Beats,City Pulse,270.0,July,2023
857,Driftwood,Ocean Waves,180.0,August,2023
858,Starlight,Cosmic Sounds,320.0,September,2023
859,Shadow Echoes,Midnight Rhythms,400.0,October,2023
860,Velvet Strings,Soft Melodies,250.0,November,2023
861,Pixel Fusion,Digital Dreams,380.0,December,2023
862,The Midnight Echoes,Neon Dreams,310.0,January,2024
863,Synthwave Dreams,Cyber Beats,470.0,February,2024
864,Electric Pulse,Urban Groove,290.0,March,2024
865,Echo Valley,Dawn Tones,185.0,April,2024
866,Retro Vibes,Golden Era,360.0,May,2024
867,Neon Sparks,Electric Sky,420.0,June,2024
868,Urban Beats,City Pulse,275.0,July,2024
869,Driftwood,Ocean Waves,195.0,August,2024
870,Starlight,Cosmic Sounds,330.0,September,2024
871,Shadow Echoes,Midnight Rhythms,410.0,October,2024
872,Velvet Strings,Soft Melodies,260.0,November,2024
873,Pixel Fusion,Digital Dreams,390.0,December,2024
874,The Midnight Echoes,Echoes of Tomorrow,300.0,January,2023
875,Eclipse Harmony,Celestial Beats,450.0,February,2023
876,Neon Pulse,Electric Dreams,280.0,March,2023
877,Solstice Strings,Golden Horizons,150.0,April,2023
878,Urban Echo,City Rhythms,400.0,May,2023
879,Celestial Waves,Oceanic Serenade,220.0,June,2023
880,Synthwave Revival,Neon Nights,500.0,July,2023
881,Folklore Haven,Whispers of the Forest,180.0,August,2023
882,Retro Vibes,Vintage Grooves,350.0,September,2023
883,Driftwood Dreams,Horizon Lines,240.0,October,2023
884,Cyber Pulse,Digital Reverie,420.0,November,2023
885,Aurora Falls,Northern Lights,190.0,December,2023
886,The Midnight Echoes,Echoes of the Past,320.0,January,2024
887,Eclipse Harmony,Celestial Reborn,410.0,February,2024
888,Neon Pulse,Electric Reverie,270.0,March,2024
889,Solstice Strings,Golden Memories,160.0,April,2024
890,Urban Echo,City Reverberations,390.0,May,2024
891,Celestial Waves,Oceanic Memories,210.0,June,2024
892,Synthwave Revival,Neon Echoes,490.0,July,2024
893,Folklore Haven,Whispers of Time,170.0,August,2024
894,Retro Vibes,Vintage Revival,360.0,September,2024
895,Driftwood Dreams,Horizon Reflections,250.0,October,2024
896,Cyber Pulse,Digital Memories,430.0,November,2024
897,Aurora Falls,Northern Reveries,195.0,December,2024
898,The Midnight Echoes,Echoes of the Future,310.0,January,2025
899,The Midnight Echoes,Electric Dreams,340.0,January,2023
900,Solar Flare,Neon Nights,510.0,February,2023
901,Urban Pulse,Sound Waves,280.0,March,2023
902,Velvet Reverie,Echoes of Tomorrow,450.0,April,2023
903,Stellar Horizon,Galactic Beats,670.0,May,2023
904,The Echoes,Midnight Vibes,190.0,June,2023
905,Neon Dreams,Electric Soul,720.0,July,2023
906,Crimson Tide,Oceanic Rhythms,310.0,August,2023
907,Phoenix Flame,Skyward Flight,490.0,September,2023
908,Shadow Valley,Dark Reverie,580.0,October,2023
909,Quantum Echo,Timeless Beats,260.0,November,2023
910,Midnight Riders,Starlight Highway,630.0,December,2023
911,The Neon Wave,City Lights,410.0,January,2023
912,Crystal Sky,Fading Stars,380.0,February,2023
913,Dawnbreaker,Sunrise Reverie,540.0,March,2023
914,Dark Matter,Cosmic Drift,290.0,April,2023
915,Synthwave Kings,Digital Pulse,610.0,May,2023
916,Velvet Shadows,Eclipse Dreams,470.0,June,2023
917,Rhythm Storm,Tempest Beats,590.0,July,2023
918,Echoes of Time,Temporal Melodies,350.0,August,2023
919,Lunar Lullaby,Moonlit Echoes,440.0,September,2023
920,Electric Mirage,Digital Dreams,650.0,October,2023
921,Sonic Horizon,Horizon Rhythms,270.0,November,2023
922,Quantum Echoes,Fractal Beats,560.0,December,2023
923,Solar Winds,Stellar Drift,480.0,January,2023
924,The Midnight Echoes,Neon Dreams,1200.0,January,2023
925,Echoes of the Past,Timeless Melodies,850.0,February,2023
926,Neon Waves,Electric Sky,1500.0,March,2023
927,Silent Symphony,Whispers of the Moon,980.0,April,2023
928,Urban Beats,City Pulse,2100.0,May,2023
929,Starlight Reverie,Galactic Tides,670.0,June,2023
930,Rhythm Republic,Syncopated Vibes,1850.0,July,2023
931,Sapphire Dreams,Crimson Skies,790.0,August,2023
932,Electric Pulse,Voltage Dreams,2400.0,September,2023
933,Midnight Stars,Twilight Reverie,1150.0,October,2023
934,Golden Groove,Sunset Serenade,920.0,November,2023
935,Velvet Voices,Velvet Nights,1300.0,December,2023
936,Crystal Harmony,Frosted Echoes,890.0,January,2024
937,Thunderclap,Stormfront Riffs,1750.0,February,2024
938,Deep Blue Sounds,Oceanic Drift,1020.0,March,2024
939,Lunar Vibes,Moonlit Reverie,760.0,April,2024
940,Jazz Fusion,Urban Jazz,2300.0,May,2024
941,Rock Legends,Legacy Riffs,1980.0,June,2024
942,Indie Echo,Tapestry of Sound,1250.0,July,2024
943,Pop Vibe,Radiant Vibes,3200.0,August,2024
944,Smooth Jazz,Velvet Grooves,1500.0,September,2024
945,Country Tunes,Hilltop Harmony,970.0,October,2024
946,Hip Hop Haven,Beat Odyssey,2850.0,November,2024
947,Electronic Dreams,Neon Pulse,1670.0,December,2024
948,Electric Pulse,Voltage Dreams,2400.0,January,2025
949,The Midnight Echoes,Electric Vibes,345.0,January,2023
950,Synthwave Dreams,Neon Nights,289.0,February,2023
951,Neon Groove,Digital Pulse,410.0,March,2023
952,Electric Pulse,Retro Waves,198.0,April,2023
953,Rhythm Republic,Urban Beats,500.0,May,2023
954,Bassline Nation,Deep Frequencies,312.0,June,2023
955,Sound Horizon,Celestial Sounds,257.0,July,2023
956,Melody Makers,Harmonic Fusion,401.0,August,2023
957,Beat Factory,Synthwave Revival,278.0,September,2023
958,Vibez Wave,Echoes of Tomorrow,394.0,October,2023
959,The Midnight Echoes,Cosmic Rhythms,189.0,November,2023
960,Synthwave Dreams,Cyber Nights,456.0,December,2023
961,Neon Groove,Pixel Waves,215.0,January,2024
962,Electric Pulse,Quantum Beats,387.0,February,2024
963,Rhythm Republic,City Grooves,520.0,March,2024
964,Bassline Nation,Subsonic Vibes,298.0,April,2024
965,Sound Horizon,Galactic Drift,365.0,May,2024
966,Melody Makers,Harmony Echoes,412.0,June,2024
967,Beat Factory,Retro Synth,234.0,July,2024
968,Vibez Wave,Digital Dreams,178.0,August,2024
969,The Midnight Echoes,Solar Flares,305.0,September,2024
970,Synthwave Dreams,Neon Echoes,478.0,October,2024
971,Neon Groove,Cyber Beats,265.0,November,2024
972,Electric Pulse,Quantum Echoes,320.0,December,2024
973,Rhythm Republic,Urban Reverie,195.0,January,2022
974,The Midnight Echoes,Echoes of the Past,340.0,January,2023
975,Electric Dreams,Neon Skies,285.0,February,2023
976,Soulful Strings,Harmony Lane,190.0,March,2023
977,Urban Pulse,City Beats,410.0,April,2023
978,Crystal Vibes,Luminous Waves,250.0,May,2023
979,Retro Rhythms,Vintage Grooves,310.0,June,2023
980,Oceanic Sounds,Tides of Blue,180.0,July,2023
981,Shadow Notes,Nocturnal Vibes,450.0,August,2023
982,Solar Flares,Celestial Fire,290.0,September,2023
983,Desert Drifters,Winds of Sand,370.0,October,2023
984,Quantum Beats,Timeless Rhythms,150.0,November,2023
985,Frostbite Echoes,Winter Whispers,220.0,December,2023
986,Electric Dreams,Neon Skies,390.0,January,2024
987,Soulful Strings,Harmony Lane,260.0,February,2024
988,Urban Pulse,City Beats,430.0,March,2024
989,Crystal Vibes,Luminous Waves,170.0,April,2024
990,Retro Rhythms,Vintage Grooves,320.0,May,2024
991,Oceanic Sounds,Tides of Blue,195.0,June,2024
992,Shadow Notes,Nocturnal Vibes,470.0,July,2024
993,Solar Flares,Celestial Fire,280.0,August,2024
994,Desert Drifters,Winds of Sand,360.0,September,2024
995,Quantum Beats,Timeless Rhythms,160.0,October,2024
996,Frostbite Echoes,Winter Whispers,230.0,November,2024
997,The Midnight Echoes,Echoes of the Past,315.0,December,2024
998,Electric Dreams,Neon Skies,400.0,January,2025
